Watching 192.168.10.80:502 on [52, 53, 55, 56, 64, 65, 66, 67, 72, 73, 74, 75, 154, 156, 158, 160, 199, 202]
Change the Boost state now.
ADDR 64: 639 -> 718
ADDR 65: 553 -> 538
ADDR 66: 155 -> 164
ADDR 67: 1888 -> 1892
ADDR 72: 659 -> 736
ADDR 73: 546 -> 534
ADDR 74: 155 -> 164
ADDR 75: 1880 -> 1884
---
ADDR 52: 1 -> 3
ADDR 53: 840 -> 400
ADDR 55: 840 -> 400
ADDR 56: 840 -> 400
ADDR 64: 718 -> 774
ADDR 65: 538 -> 539
ADDR 66: 164 -> 162
ADDR 67: 1892 -> 1896
ADDR 72: 736 -> 774
ADDR 73: 534 -> 538
ADDR 74: 164 -> 158
ADDR 75: 1884 -> 1886
ADDR 158: 163 -> 162
---
ADDR 64: 774 -> 710
ADDR 65: 539 -> 542
ADDR 66: 162 -> 152
ADDR 67: 1896 -> 1895
ADDR 72: 774 -> 687
ADDR 73: 538 -> 540
ADDR 74: 158 -> 149
ADDR 75: 1886 -> 1878
ADDR 154: 333 -> 332
ADDR 156: 324 -> 323
ADDR 158: 162 -> 163
---
